1781329880,2026-06-13 13:51:20,1.588GiB / 23.47GiB|0.79%,200,870 MiB,2.350
1781329941,2026-06-13 13:52:21,1.589GiB / 23.47GiB|0.36%,200,870 MiB,.992
1781330001,2026-06-13 13:53:21,1.589GiB / 23.47GiB|0.53%,200,870 MiB,.992
1781330060,2026-06-13 13:54:20,1.59GiB / 23.47GiB|0.58%,200,870 MiB,.919
1781330120,2026-06-13 13:55:20,1.59GiB / 23.47GiB|0.21%,200,870 MiB,1.004
1781330179,2026-06-13 13:56:19,1.591GiB / 23.47GiB|0.43%,200,870 MiB,.899
1781330238,2026-06-13 13:57:18,1.592GiB / 23.47GiB|0.63%,200,870 MiB,.969
1781332121,2026-06-13 14:28:41,1.592GiB / 23.47GiB|0.31%,200,278 MiB,1.012
1781332179,2026-06-13 14:29:39,1.592GiB / 23.47GiB|0.84%,200,546 MiB,.966
1781332238,2026-06-13 14:30:38,1.592GiB / 23.47GiB|0.44%,200,546 MiB,.969
1781332296,2026-06-13 14:31:36,1.592GiB / 23.47GiB|0.60%,200,546 MiB,.986
1781332354,2026-06-13 14:32:34,1.592GiB / 23.47GiB|0.22%,200,546 MiB,2.193
1781332414,2026-06-13 14:33:34,1.593GiB / 23.47GiB|0.39%,200,546 MiB,1.003
1781332474,2026-06-13 14:34:34,1.593GiB / 23.47GiB|0.43%,200,546 MiB,1.305
1781332534,2026-06-13 14:35:34,1.593GiB / 23.47GiB|0.41%,200,546 MiB,.986
1781332592,2026-06-13 14:36:32,1.594GiB / 23.47GiB|0.55%,200,553 MiB,1.014
1781332650,2026-06-13 14:37:30,1.594GiB / 23.47GiB|0.64%,200,553 MiB,1.232
1781332710,2026-06-13 14:38:30,1.595GiB / 23.47GiB|0.71%,200,553 MiB,.940
1781332768,2026-06-13 14:39:28,1.596GiB / 23.47GiB|0.22%,200,553 MiB,1.575
1781332829,2026-06-13 14:40:29,1.597GiB / 23.47GiB|0.24%,200,553 MiB,.931
1781332887,2026-06-13 14:41:27,1.597GiB / 23.47GiB|0.61%,200,553 MiB,.980
1781332946,2026-06-13 14:42:26,1.597GiB / 23.47GiB|0.56%,200,553 MiB,1.003
1781333005,2026-06-13 14:43:25,1.597GiB / 23.47GiB|0.27%,200,587 MiB,2.382
1781333065,2026-06-13 14:44:25,1.597GiB / 23.47GiB|0.47%,200,587 MiB,1.101
1781333123,2026-06-13 14:45:23,1.598GiB / 23.47GiB|0.39%,200,587 MiB,1.016
1781333181,2026-06-13 14:46:21,1.598GiB / 23.47GiB|0.22%,200,587 MiB,1.060
1781333240,2026-06-13 14:47:20,1.598GiB / 23.47GiB|0.40%,200,587 MiB,1.036
1781343872,2026-06-13 17:44:32,1.598GiB / 23.47GiB|0.22%,200,243 MiB,2.350
1781343933,2026-06-13 17:45:33,1.599GiB / 23.47GiB|0.51%,200,0 MiB,1.054
1781343993,2026-06-13 17:46:33,1.599GiB / 23.47GiB|0.37%,200,0 MiB,1.778
1781344054,2026-06-13 17:47:34,1.599GiB / 23.47GiB|0.39%,200,256 MiB,1.212
1781344114,2026-06-13 17:48:34,1.599GiB / 23.47GiB|0.93%,200,0 MiB,2.580
1781344175,2026-06-13 17:49:35,1.599GiB / 23.47GiB|0.40%,200,15 MiB,2.169
1781344236,2026-06-13 17:50:36,1.599GiB / 23.47GiB|0.61%,200,0 MiB,1.575
1781344297,2026-06-13 17:51:37,1.599GiB / 23.47GiB|0.41%,200,0 MiB,1.052
1781344357,2026-06-13 17:52:37,1.599GiB / 23.47GiB|0.41%,200,0 MiB,3.541
1781344422,2026-06-13 17:53:42,1.599GiB / 23.47GiB|0.52%,200,0 MiB,1.704
1781344483,2026-06-13 17:54:43,1.599GiB / 23.47GiB|0.34%,200,15 MiB,1.028
1781344542,2026-06-13 17:55:42,1.599GiB / 23.47GiB|0.40%,200,0 MiB,.925
1781344602,2026-06-13 17:56:42,1.599GiB / 23.47GiB|0.44%,200,15 MiB,1.116
1781344662,2026-06-13 17:57:42,1.599GiB / 23.47GiB|0.56%,200,15 MiB,1.239
1781344724,2026-06-13 17:58:44,1.599GiB / 23.47GiB|0.21%,200,15 MiB,1.042
